	rxnNames	abbreviation	equation	lowbnd	uppbnd	obj_coef
38	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	3HAD80	[c] : 3hoctACP --> h2o + toct2eACP	0	1000	0
39	8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase	3HAD8M10	[c] : 8m3hdcaACP --> h2o + 8mtdec2eACP	0	1000	0
40	8-methyl-3-hydroxy-nonanoyl-ACP hydro-lyase	3HAD8M9	[c] : 8m3hnonACP --> h2o + 8mtnon2eACP	0	1000	0
41	9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase	3HAD9M10	[c] : 9m3hdcaACP --> h2o + 9mtdec2eACP	0	1000	0
42	3-hydroxybutyryl-CoA dehydratase	3HBCD	[c] : 4hbutcoa <==> h2o + 3btcoa	-1000	1000	0
43	(S)-3-Hydroxybutanoyl-coa[c] 3-epimerase	3HBCOAE	[c] : 3hbcoa <==> 3hbcoa_R	-1000	1000	0
44	3-hydroxyisobutyryl-CoA hydrolase	3HBCOAHL	[c] : h2o + 3hibutcoa --> h + coa + 3hmp	0	1000	0
45	3-methyl-2-oxobutanoate synthase	3MOBS	[c] : h + coa + 3c3hmp <==> h2o + accoa + 3mob	-1000	1000	0
46	3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	3OAR100	[c] : h + nadph + 3odecACP <==> nadp + 3hdecACP	-1000	1000	0
47	10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase	3OAR10M11	[c] : h + nadph + 10m3oundecACP <==> nadp + 10m3hundecACP	-1000	1000	0
48	10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase	3OAR10M12	[c] : h + nadph + 10m3oddcaACP <==> nadp + 10m3hddcaACP	-1000	1000	0
49	11-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase	3OAR11M12	[c] : h + nadph + 11m3oddcaACP <==> nadp + 11m3hddcaACP	-1000	1000	0
50	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	3OAR120	[c] : h + nadph + 3oddecACP <==> nadp + 3hddecACP	-1000	1000	0
51	12-methyl-3-oxo-tridecanoyl-ACPNADP+ oxidoreductase	3OAR12M13	[c] : h + nadph + 12m3otridecACP <==> nadp + 12m3htridecACP	-1000	1000	0
52	12-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase	3OAR12M14	[c] : h + nadph + 12m3omyrsACP <==> nadp + 12m3hmyrsACP	-1000	1000	0
53	13-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase	3OAR13M14	[c] : h + nadph + 13m3omyrsACP <==> nadp + 13m3hmyrsACP	-1000	1000	0
54	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	3OAR140	[c] : h + nadph + 3omrsACP <==> nadp + 3hmrsACP	-1000	1000	0
55	14-methyl-3-oxo-pentadecanoyl-ACPNADP+ oxidoreductase	3OAR14M15	[c] : h + nadph + 14m3opentdecACP <==> nadp + 14m3hpentdecACP	-1000	1000	0
56	14-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase	3OAR14M16	[c] : h + nadph + 14m3opalmACP <==> nadp + 14m3hpalmACP	-1000	1000	0
57	15-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase	3OAR15M16	[c] : h + nadph + 15m3opalmACP <==> nadp + 15m3hpalmACP	-1000	1000	0
58	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	3OAR160	[c] : h + nadph + 3opalmACP <==> nadp + 3hpalmACP	-1000	1000	0
59	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	3OAR180	[c] : h + nadph + 3ooctdACP <==> nadp + 3hoctaACP	-1000	1000	0
60	3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	3OAR40	[c] : h + nadph + actACP <==> nadp + 3haACP	-1000	1000	0
61	4-methyl-3-oxo-pentanoyl-ACPNADP+ oxidoreductase	3OAR4M5	[c] : h + nadph + 4m3opentACP <==> nadp + 4m3hpentACP	-1000	1000	0
62	4-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase	3OAR4M6	[c] : h + nadph + 4m3ohexACP <==> nadp + 4m3hhexACP	-1000	1000	0
63	5-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase	3OAR5M6	[c] : h + nadph + 5m3ohexACP <==> nadp + 5m3hhexACP	-1000	1000	0
64	3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	3OAR60	[c] : h + nadph + 3ohexACP <==> nadp + 3hhexACP	-1000	1000	0
65	6-methyl-3-oxo-heptanoyl-ACPNADP+ oxidoreductase	3OAR6M7	[c] : h + nadph + 6m3oheptACP <==> nadp + 6m3hheptACP	-1000	1000	0
66	6-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase	3OAR6M8	[c] : h + nadph + 6m3oocACP <==> nadp + 6m3hocACP	-1000	1000	0
67	7-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase	3OAR7M8	[c] : h + nadph + 7m3oocACP <==> nadp + 7m3hocACP	-1000	1000	0
68	3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	3OAR80	[c] : h + nadph + 3ooctACP <==> nadp + 3hoctACP	-1000	1000	0
69	8-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase	3OAR8M10	[c] : h + nadph + 8m3odcaACP <==> nadp + 8m3hdcaACP	-1000	1000	0
70	8-methyl-3-oxo-nonanoyl-ACPNADP+ oxidoreductase	3OAR8M9	[c] : h + nadph + 8m3ononACP <==> nadp + 8m3hnonACP	-1000	1000	0
71	9-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase	3OAR9M10	[c] : h + nadph + 9m3odcaACP <==> nadp + 9m3hdcaACP	-1000	1000	0
72	3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	3OAS100	[c] : h + malACP + ocACP --> ACP + 3odecACP + co2	0	1000	0
73	10-methyl-undecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS10M11	[c] : h + malACP + 10mundecACP --> ACP + 12m3otridecACP + co2	0	1000	0
74	10-methyl-dodecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS10M12	[c] : h + malACP + 10mddcaACP --> ACP + 12m3omyrsACP + co2	0	1000	0
75	11-methyl-dodecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS11M12	[c] : h + malACP + 11mddcaACP --> ACP + 13m3omyrsACP + co2	0	1000	0
76	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	3OAS120	[c] : h + malACP + dcaACP --> ACP + 3oddecACP + co2	0	1000	0
77	12-methyl-tridecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS12M13	[c] : h + malACP + 12mtridecACP --> ACP + 14m3opentdecACP + co2	0	1000	0
78	12-methyl-tetra-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS12M14	[c] : h + malACP + 12mmyrsACP --> ACP + 14m3opalmACP + co2	0	1000	0
79	13-methyl-tetra-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS13M14	[c] : h + malACP + 13mmyrsACP --> ACP + 15m3opalmACP + co2	0	1000	0
80	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	3OAS140	[c] : h + malACP + ddcaACP --> ACP + 3omrsACP + co2	0	1000	0
81	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)	3OAS160	[c] : h + malACP + myrsACP --> ACP + 3opalmACP + co2	0	1000	0
82	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	3OAS180	[c] : h + malACP + palmACP --> ACP + 3ooctdACP + co2	0	1000	0
83	2-methylpropionyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS2M3	[c] : h + malACP + 2mpropACP --> ACP + 4m3opentACP + co2	0	1000	0
84	3-methylbutanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS3M4	[c] : h + malACP + 3mbutACP --> ACP + 5m3ohexACP + co2	0	1000	0
85	4-methyl-3-oxo-hexanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS4M3O6	[c] : h + 2mbutACP + malACP --> ACP + 4m3ohexACP + co2	0	1000	0
86	4-methyl-pentanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS4M5	[c] : h + malACP + 4mpentACP --> ACP + 6m3oheptACP + co2	0	1000	0
87	4-methyl-hexanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS4M6	[c] : h + malACP + 4mhexACP --> ACP + 6m3oocACP + co2	0	1000	0
88	5-methyl-hexanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS5M6	[c] : h + malACP + 5mhexACP --> ACP + 7m3oocACP + co2	0	1000	0
89	3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	3OAS60	[c] : h + malACP + butACP --> ACP + 3ohexACP + co2	0	1000	0
90	6-methyl-heptanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS6M7	[c] : h + malACP + 6mheptACP --> ACP + 8m3ononACP + co2	0	1000	0
91	6-methyl-octanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS6M8	[c] : h + malACP + 6mocACP --> ACP + 8m3odcaACP + co2	0	1000	0
92	7-methyl-octanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS7M8	[c] : h + malACP + 7mocACP --> ACP + 9m3odcaACP + co2	0	1000	0
93	3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)	3OAS80	[c] : h + malACP + hexACP --> ACP + 3ooctACP + co2	0	1000	0
94	8-methyl-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS8M10	[c] : h + malACP + 8mdcaACP --> ACP + 10m3oddcaACP + co2	0	1000	0
95	8-methyl-nonanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS8M9	[c] : h + malACP + 8mnonACP --> ACP + 10m3oundecACP + co2	0	1000	0
96	9-methyl-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS9M10	[c] : h + malACP + 9mdcaACP --> ACP + 11m3oddcaACP + co2	0	1000	0
97	4-Hydroxybutanoate:NAD+ oxidoreductase	4HBNOX	[c] : nad + 4hdxbutn <==> h + nadh + sucsal	-1000	1000	0
98	4-hydroxyphenylacetate decarboxylase	4HPHACDC	[c] : 4hphac --> co2 + pcresol	0	1000	0
99	4-hydroxyphenylacetate decarboxylase (yielding 4-methylcatechol)	4HPHACDC2	[c] : h + 34dhpha --> co2 + 4mcat	0	1000	0
100	4-Hydroxy-L-threonine synthase	4HTHRS	[c] : h2o + phthr --> 4hthr + pi	0	1000	0
101	4-methylcatechol transport via proton symport	4MCATt2r	h[e] + 4mcat[e] <==> h[c] + 4mcat[c]	-1000	1000	0
102	5aizc decarboxylase	5AIZCDC	[c] : h + 5aizc --> co2 + air	0	1000	0
103	5-Aminopentanoate:lipoate oxidoreductase (cyclizing)	5APTLPO	[c] : 5aptn + lipoate <==> h + pro_D + C02147	-1000	1000	0
104	5-Aminopentanoate transport via proton symport	5APTNt2r	h[e] + 5aptn[e] <==> h[c] + 5aptn[c]	-1000	1000	0
105	5 carboxy 2 oxohept 3 enedioate decarboxylation	5C2O3EDDC	[c] : h + 5c2o3ed --> co2 + 2hh24dd	0	1000	0
106	5-deoxyadenosine nuclosidase	5DOAN	[c] : h2o + dad_5 --> 5drib + ade	0	1000	0
107	(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase	5GLUP5T1	[c] : glu_L + HC00955 <==> h2o + HC01577	-1000	1000	0
108	(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase	5GLUP5T2	[c] : h + glu_L + HC00955 --> h2o + co2 + HC01700	0	1000	0
109	6-phospho-beta-glucosidase	6PHBG	[c] : h2o + salc6p --> 2hymeph + g6p	0	1000	0
110	Salicin 6 phosphate glucohydrolase	6PHBG2	[c] : h2o + salc6p --> 2hymeph + g6p_B	0	1000	0
111	arabinose-5-phosphate isomerase	A5PISO	[c] : ru5p_D <==> ara5p	-1000	1000	0
112	aldehyde dehydrogenase (aminoacetaldehyde, nad[c])	AACGLYDH	[c] : nad + h2o + aacald <==> (2) h + nadh + gly	-1000	1000	0
113	Acetoacetyl-CoA:acetate CoA-transferase	AACOAT	[c] : coa + atp + acac --> aacoa + amp + ppi	0	1000	0
114	acyl-[acyl-carrier-protein] synthetase  (n-C12:0)	AACPS7	[c] : ACP + atp + ddca --> ddcaACP + amp + ppi	0	1000	0
115	Arbutin 6-phosphate glucohydrolase	AB6PGH	[c] : h2o + arbt6p --> g6p + hqn	0	1000	0
116	Arbutin 6-phosphate glucohydrolase	AB6PGH2	[c] : h2o + arbt6p --> g6p_B + hqn	0	1000	0
117	4-aminobutyrate transaminase	ABTA	[c] : akg + 4abut --> glu_L + sucsal	0	1000	0
118	Aminobutyraldehyde dehydrogenase	ABUTD	[c] : nad + h2o + 4abutn --> (2) h + nadh + 4abut	0	1000	0
119	4-Aminobutyraldehyde:nad[c]+ oxidoreductase	ABUTR	[c] : nadp + h2o + 4abutn <==> (2) h + nadph + 4abut	-1000	1000	0
120	4-aminobutyrate reversible transport in via proton symport	ABUTt2r	h[e] + 4abut[e] <==> h[c] + 4abut[c]	-1000	1000	0
121	acetyl-CoA C-acetyltransferase	ACACT1r	[c] : (2) accoa <==> coa + aacoa	-1000	1000	0
122	acetyl-CoA C-acyltransferase (butanoyl-CoA) (r)	ACACT2r	[c] : accoa + btcoa <==> coa + 3ohcoa	-1000	1000	0
123	acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r)	ACACT3r	[c] : accoa + hxcoa <==> coa + 3oocoa	-1000	1000	0
124	acetyl-CoA C-acyltransferase (octanoyl-CoA) (r)	ACACT4r	[c] : accoa + occoa <==> coa + 3odcoa	-1000	1000	0
125	acetyl-CoA C-acyltransferase (decanoyl-CoA) (r)	ACACT5r	[c] : accoa + dcacoa <==> coa + 3oddcoa	-1000	1000	0
126	acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r)	ACACT6r	[c] : accoa + ddcacoa <==> coa + 3otdcoa	-1000	1000	0
127	acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r)	ACACT7r	[c] : accoa + tdcoa <==> coa + 3ohdcoa	-1000	1000	0
128	acetaldehyde dehydrogenase (acetylating)	ACALD	[c] : nad + coa + acald <==> h + nadh + accoa	-1000	1000	0
129	acetaldehyde reversible transport	ACALDt	acald[e] <==> acald[c]	-1000	1000	0
130	Adenosyl cobinamide phosphate guanyltransferase	ACBIPGT	[c] : h + adocbip + gtp --> ppi + agdpcbi	0	1000	0
131	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)	ACCOACL	[c] : accoa + btn_co2 --> apoC_Lys_btn + malcoa	0	1000	0
132	acetyl-CoA: 4-hydroxybutanoate CoA transferase	ACCOAT	[c] : accoa + 4hdxbutn <==> 4hbutcoa + ac	-1000	1000	0
133	Acetyl-L,L-diaminopimelate aminotransferase	ACEDIPIT	[c] : akg + n6all26d <==> glu_L + acamoxm	-1000	1000	0
134	UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase	ACGAMT	[c] : uacgam + udcpp --> ump + unaga	0	1000	0
135	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS	ACGApts	acgam[e] + pep[c] --> acgam6p[c] + pyr[c]	0	1000	0
136	acetylglutamate kinase	ACGK	[c] : atp + acglu --> acg5p + adp	0	1000	0
137	N-acetylglutamate synthase	ACGS	[c] : glu_L + accoa --> h + coa + acglu	0	1000	0
138	(S)-2-Aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating)	ACHBPL	[c] : hethmpp + 2obut <==> 2ahbut + thmpp	-1000	1000	0
139	acetate kinase	ACKr	[c] : atp + ac <==> adp + actp	-1000	1000	0
140	pyruvatethiamin diphosphate acetaldehydetransferase	ACLS_a	[c] : h + pyr + thmpp --> co2 + hethmpp	0	1000	0
141	2-Acetolactate pyruvate-lyase (carboxylating)	ACLS_b	[c] : thmpp + alac_S <==> pyr + hethmpp	-1000	1000	0
142	N-Acetylneuraminate lyase	ACNML	[c] : acnam --> pyr + acmana	0	1000	0
143	myristoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPAT140	[c] : tdcoa + 1tdecg3p --> coa + pa140	0	1000	0
144	palmitoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPAT160	[c] : pmtcoa + 1hdecg3p --> coa + pa160	0	1000	0
145	stearoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPAT180	[c] : stcoa + 1odecg3p --> coa + pa180	0	1000	0
146	anteisopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPATAI15	[c] : 1aipdecg3p + aipdcoa --> h + coa + paai15	0	1000	0
147	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPATAI17	[c] : 1aihpdecg3p + aihpdcoa --> coa + paai17	0	1000	0
148	isotetradecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPATI14	[c] : itdcoa + 1itdecg3p --> h + coa + pai14	0	1000	0
149	isopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPATI15	[c] : ipdcoa + 1ipdecg3p --> h + coa + pai15	0	1000	0
150	isohexadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPATI16	[c] : ihdcoa + 1ihdecg3p --> h + coa + pai16	0	1000	0
151	isoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPATI17	[c] : ihpdcoa + 1ihpdecg3p --> coa + pai17	0	1000	0
152	acyl-CoA dehydrogenase (butanoyl-CoA)	ACOAD1i	[c] : h + nadh + b2coa --> nad + btcoa	0	1000	0
153	(S)-2-methylbutanoyl-CoA:oxygen 2,3-oxidoreductase	ACOAD20	[c] : (2) 2mbcoa + o2 --> (2) h2o + (2) 2mb2coa	0	1000	0
154	acyl-CoA dehydrogenase (Isobutiryl-CoA)	ACOADH2	[c] : o2 + (2) ibcoa --> (2) h2o + (2) 2mp2coa	0	1000	0
155	Acetyl-CoA ACP transacylase	ACOATA	[c] : ACP + accoa <==> coa + acACP	-1000	1000	0
156	N-acetylornithine carbamoyltransferase	ACOCT	[c] : cbp + acorn --> pi + Naccitr_L	0	1000	0
157	Acetylornithine deacetylase, reversible	ACODAr	[c] : h2o + acorn <==> ac + orn	-1000	1000	0
158	aconitase	ACONT	[c] : cit <==> icit	-1000	1000	0
159	aconitase (half-reaction A, Citrate hydro-lyase)	ACONTa	[c] : cit <==> h2o + acon_C	-1000	1000	0
160	aconitase (half-reaction B, Isocitrate hydro-lyase)	ACONTb	[c] : h2o + acon_C <==> icit	-1000	1000	0
161	acetylornithine transaminase	ACOTA	[c] : akg + acorn <==> glu_L + acg5sa	-1000	1000	0
162	acyl-carrier protein synthase	ACPS1	[c] : coa + apoACP --> h + ACP + pap	0	1000	0
163	acetoin dehydrogenase complex	ACTNDH	[c] : nad + coa + actn_R <==> h + nadh + accoa + acald	-1000	1000	0
164	acetate transporter	ACtr	ac[e] <==> ac[c]	-1000	1000	0
165	Adenosine deaminase	ADA	[c] : h + h2o + adn --> nh4 + ins	0	1000	0
166	4-aminobenzoate synthase	ADCL	[c] : 4adcho --> h + pyr + 4abz	0	1000	0
167	adenosylcobinamide-phosphate synthase	ADCPS1	[c] : atp + adcobhex + appl --> h + pi + adp + adocbi	0	1000	0
168	adenosylcobinamide-phosphate synthase	ADCPS2	[c] : atp + adcobhex + applp --> h + pi + adocbip + adp	0	1000	0
169	4-amino-4-deoxychorismate synthase	ADCS	[c] : chor + gln_L --> glu_L + 4adcho	0	1000	0
170	adenosylcobyric acid synthase (glutamine-hydrolysing)	ADCYRS	[c] : (4) h2o + (4) atp + (4) gln_L + adcobdam --> (4) h + (4) glu_L + (4) pi + (4) adp + adcobhex	0	1000	0
171	adenine deaminase	ADD	[c] : h + h2o + ade --> nh4 + hxan	0	1000	0
172	adenylate kinase	ADK1	[c] : atp + amp <==> (2) adp	-1000	1000	0
173	adenylate kinase (dTTP)	ADK10	[c] : amp + dttp <==> adp + dtdp	-1000	1000	0
174	adenylate kinase (dUTP)	ADK11	[c] : amp + dutp <==> adp + dudp	-1000	1000	0
175	adenylate kinase (Inorganic triphosphate)	ADK2	[c] : amp + pppi <==> ppi + adp	-1000	1000	0
176	adentylate kinase (GTP)	ADK3	[c] : amp + gtp <==> adp + gdp	-1000	1000	0
177	adenylate kinase (CTP)	ADK5	[c] : amp + ctp <==> adp + cdp	-1000	1000	0
178	adenylate kinase (dATP)	ADK7	[c] : amp + datp <==> adp + dadp	-1000	1000	0
179	adenylate kinase (dCTP)	ADK8	[c] : amp + dctp <==> adp + dcdp	-1000	1000	0
180	adenylate kinase (dGTP)	ADK9	[c] : amp + dgtp <==> adp + dgdp	-1000	1000	0
181	Adenosylmethionine decarboxylase	ADMDCr	[c] : h + amet <==> co2 + ametam	-1000	1000	0
182	Adenosyl cobinamide kinase	ADOCBIK	[c] : atp + adocbi --> h + adocbip + adp	0	1000	0
183	Adenosyl cobinamide kinase (GTP)	ADOCBIK2	[c] : gtp + adocbi --> h + adocbip + gdp	0	1000	0
184	Adenosylcobalamin 5-phosphate synthase	ADOCBLS	[c] : agdpcbi + rdmbzi --> h + adocbl + gmp	0	1000	0
185	Adenosylcobalamin transport via ABC system	ADOCBLabc	h2o[c] + atp[c] + adocbl[e] --> h[c] + pi[c] + adp[c] + adocbl[c]	0	1000	0
