	rxnNames	abbreviation	equation	lowbnd	uppbnd	obj_coef
33	4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase	3HAD4M6	[c] : 4m3hhexACP --> 4mthex2eACP + h2o	0	1000	0
34	5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase	3HAD5M6	[c] : 5m3hhexACP --> 5mthex2eACP + h2o	0	1000	0
35	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	3HAD60	[c] : 3hhexACP --> h2o + thex2eACP	0	1000	0
36	6-methyl-3-hydroxy-heptanoyl-ACP hydro-lyase	3HAD6M7	[c] : 6m3hheptACP --> 6mthept2eACP + h2o	0	1000	0
37	6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase	3HAD6M8	[c] : 6m3hocACP --> 6mtoct2eACP + h2o	0	1000	0
38	7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase	3HAD7M8	[c] : 7m3hocACP --> 7mtoct2eACP + h2o	0	1000	0
39	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	3HAD80	[c] : 3hoctACP --> h2o + toct2eACP	0	1000	0
40	8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase	3HAD8M10	[c] : 8m3hdcaACP --> 8mtdec2eACP + h2o	0	1000	0
41	8-methyl-3-hydroxy-nonanoyl-ACP hydro-lyase	3HAD8M9	[c] : 8m3hnonACP --> 8mtnon2eACP + h2o	0	1000	0
42	9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase	3HAD9M10	[c] : 9m3hdcaACP --> 9mtdec2eACP + h2o	0	1000	0
43	3-hydroxyisobutyryl-CoA hydrolase	3HBCOAHL	[c] : 3hibutcoa + h2o --> 3hmp + coa + h	0	1000	0
44	3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	3OAR100	[c] : 3odecACP + h + nadph <==> 3hdecACP + nadp	-1000	1000	0
45	10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase	3OAR10M11	[c] : 10m3oundecACP + h + nadph <==> 10m3hundecACP + nadp	-1000	1000	0
46	10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase	3OAR10M12	[c] : 10m3oddcaACP + h + nadph <==> 10m3hddcaACP + nadp	-1000	1000	0
47	11-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase	3OAR11M12	[c] : 11m3oddcaACP + h + nadph <==> 11m3hddcaACP + nadp	-1000	1000	0
48	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	3OAR120	[c] : 3oddecACP + h + nadph <==> 3hddecACP + nadp	-1000	1000	0
49	12-methyl-3-oxo-tridecanoyl-ACPNADP+ oxidoreductase	3OAR12M13	[c] : 12m3otridecACP + h + nadph <==> 12m3htridecACP + nadp	-1000	1000	0
50	12-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase	3OAR12M14	[c] : 12m3omyrsACP + h + nadph <==> 12m3hmyrsACP + nadp	-1000	1000	0
51	13-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase	3OAR13M14	[c] : 13m3omyrsACP + h + nadph <==> 13m3hmyrsACP + nadp	-1000	1000	0
52	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	3OAR140	[c] : 3omrsACP + h + nadph <==> 3hmrsACP + nadp	-1000	1000	0
53	14-methyl-3-oxo-pentadecanoyl-ACPNADP+ oxidoreductase	3OAR14M15	[c] : 14m3opentdecACP + h + nadph <==> 14m3hpentdecACP + nadp	-1000	1000	0
54	14-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase	3OAR14M16	[c] : 14m3opalmACP + h + nadph <==> 14m3hpalmACP + nadp	-1000	1000	0
55	15-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase	3OAR15M16	[c] : 15m3opalmACP + h + nadph <==> 15m3hpalmACP + nadp	-1000	1000	0
56	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	3OAR160	[c] : 3opalmACP + h + nadph <==> 3hpalmACP + nadp	-1000	1000	0
57	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	3OAR180	[c] : 3ooctdACP + h + nadph <==> 3hoctaACP + nadp	-1000	1000	0
58	3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	3OAR40	[c] : actACP + h + nadph <==> 3haACP + nadp	-1000	1000	0
59	4-methyl-3-oxo-pentanoyl-ACPNADP+ oxidoreductase	3OAR4M5	[c] : 4m3opentACP + h + nadph <==> 4m3hpentACP + nadp	-1000	1000	0
60	4-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase	3OAR4M6	[c] : 4m3ohexACP + h + nadph <==> 4m3hhexACP + nadp	-1000	1000	0
61	5-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase	3OAR5M6	[c] : 5m3ohexACP + h + nadph <==> 5m3hhexACP + nadp	-1000	1000	0
62	3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	3OAR60	[c] : 3ohexACP + h + nadph <==> 3hhexACP + nadp	-1000	1000	0
63	6-methyl-3-oxo-heptanoyl-ACPNADP+ oxidoreductase	3OAR6M7	[c] : 6m3oheptACP + h + nadph <==> 6m3hheptACP + nadp	-1000	1000	0
64	6-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase	3OAR6M8	[c] : 6m3oocACP + h + nadph <==> 6m3hocACP + nadp	-1000	1000	0
65	7-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase	3OAR7M8	[c] : 7m3oocACP + h + nadph <==> 7m3hocACP + nadp	-1000	1000	0
66	3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	3OAR80	[c] : 3ooctACP + h + nadph <==> 3hoctACP + nadp	-1000	1000	0
67	8-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase	3OAR8M10	[c] : 8m3odcaACP + h + nadph <==> 8m3hdcaACP + nadp	-1000	1000	0
68	8-methyl-3-oxo-nonanoyl-ACPNADP+ oxidoreductase	3OAR8M9	[c] : 8m3ononACP + h + nadph <==> 8m3hnonACP + nadp	-1000	1000	0
69	9-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase	3OAR9M10	[c] : 9m3odcaACP + h + nadph <==> 9m3hdcaACP + nadp	-1000	1000	0
70	3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	3OAS100	[c] : h + malACP + ocACP --> 3odecACP + ACP + co2	0	1000	0
71	10-methyl-undecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS10M11	[c] : 10mundecACP + h + malACP --> 12m3otridecACP + ACP + co2	0	1000	0
72	10-methyl-dodecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS10M12	[c] : 10mddcaACP + h + malACP --> 12m3omyrsACP + ACP + co2	0	1000	0
73	11-methyl-dodecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS11M12	[c] : 11mddcaACP + h + malACP --> 13m3omyrsACP + ACP + co2	0	1000	0
74	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	3OAS120	[c] : dcaACP + h + malACP --> 3oddecACP + ACP + co2	0	1000	0
75	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1)	3OAS121	[c] : cdec3eACP + h + malACP --> 3ocddec5eACP + ACP + co2	0	1000	0
76	12-methyl-tridecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS12M13	[c] : 12mtridecACP + h + malACP --> 14m3opentdecACP + ACP + co2	0	1000	0
77	12-methyl-tetra-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS12M14	[c] : 12mmyrsACP + h + malACP --> 14m3opalmACP + ACP + co2	0	1000	0
78	13-methyl-tetra-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS13M14	[c] : 13mmyrsACP + h + malACP --> 15m3opalmACP + ACP + co2	0	1000	0
79	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	3OAS140	[c] : ddcaACP + h + malACP --> 3omrsACP + ACP + co2	0	1000	0
80	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)	3OAS141	[c] : cddec5eACP + h + malACP --> 3ocmrs7eACP + ACP + co2	0	1000	0
81	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)	3OAS160	[c] : h + malACP + myrsACP --> 3opalmACP + ACP + co2	0	1000	0
82	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)	3OAS161	[c] : h + malACP + tdeACP --> 3ocpalm9eACP + ACP + co2	0	1000	0
83	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	3OAS180	[c] : h + malACP + palmACP --> 3ooctdACP + ACP + co2	0	1000	0
84	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)	3OAS181	[c] : h + hdeACP + malACP --> 3ocvac11eACP + ACP + co2	0	1000	0
85	2-methylpropionyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS2M3	[c] : 2mpropACP + h + malACP --> 4m3opentACP + ACP + co2	0	1000	0
86	3-methylbutanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS3M4	[c] : 3mbutACP + h + malACP --> 5m3ohexACP + ACP + co2	0	1000	0
87	4-methyl-3-oxo-hexanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS4M3O6	[c] : 2mbutACP + h + malACP --> 4m3ohexACP + ACP + co2	0	1000	0
88	4-methyl-pentanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS4M5	[c] : 4mpentACP + h + malACP --> 6m3oheptACP + ACP + co2	0	1000	0
89	4-methyl-hexanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS4M6	[c] : 4mhexACP + h + malACP --> 6m3oocACP + ACP + co2	0	1000	0
90	5-methyl-hexanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS5M6	[c] : 5mhexACP + h + malACP --> 7m3oocACP + ACP + co2	0	1000	0
91	3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	3OAS60	[c] : butACP + h + malACP --> 3ohexACP + ACP + co2	0	1000	0
92	6-methyl-heptanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS6M7	[c] : 6mheptACP + h + malACP --> 8m3ononACP + ACP + co2	0	1000	0
93	6-methyl-octanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS6M8	[c] : 6mocACP + h + malACP --> 8m3odcaACP + ACP + co2	0	1000	0
94	7-methyl-octanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS7M8	[c] : 7mocACP + h + malACP --> 9m3odcaACP + ACP + co2	0	1000	0
95	3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)	3OAS80	[c] : h + hexACP + malACP --> 3ooctACP + ACP + co2	0	1000	0
96	8-methyl-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS8M10	[c] : 8mdcaACP + h + malACP --> 10m3oddcaACP + ACP + co2	0	1000	0
97	8-methyl-nonanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS8M9	[c] : 8mnonACP + h + malACP --> 10m3oundecACP + ACP + co2	0	1000	0
98	9-methyl-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3OAS9M10	[c] : 9mdcaACP + h + malACP --> 11m3oddcaACP + ACP + co2	0	1000	0
99	5aizc decarboxylase	5AIZCDC	[c] : 5aizc + h --> air + co2	0	1000	0
100	5-Aminopentanoate:lipoate oxidoreductase (cyclizing)	5APTLPO	[c] : 5aptn + lipoate <==> C02147 + h + pro_D	-1000	1000	0
101	5 carboxy 2 oxohept 3 enedioate decarboxylation	5C2O3EDDC	[c] : 5c2o3ed + h --> 2hh24dd + co2	0	1000	0
102	6-phospho-beta-glucosidase	6PHBG	[c] : h2o + salc6p --> 2hymeph + g6p	0	1000	0
103	Salicin 6 phosphate glucohydrolase	6PHBG2	[c] : h2o + salc6p --> 2hymeph + g6p_B	0	1000	0
104	aldehyde dehydrogenase (aminoacetaldehyde, nad[c])	AACGLYDH	[c] : aacald + h2o + nad <==> gly + (2) h + nadh	-1000	1000	0
105	acyl-[acyl-carrier-protein] synthetase  (n-C12:0)	AACPS7	[c] : ACP + atp + ddca --> amp + ddcaACP + ppi	0	1000	0
106	Arbutin 6-phosphate glucohydrolase	AB6PGH	[c] : arbt6p + h2o --> g6p + hqn	0	1000	0
107	Arbutin 6-phosphate glucohydrolase	AB6PGH2	[c] : arbt6p + h2o --> g6p_B + hqn	0	1000	0
108	L-arabinitol:NADP oxidoreductase	ABTOXy	[c] : abt + nadp <==> arab_L + h + nadph	-1000	1000	0
109	Aminobutyraldehyde Dehydrogenase	ABUTD	[c] : 4abutn + h2o + nad --> 4abut + (2) h + nadh	0	1000	0
110	4-Aminobutyraldehyde:nad[c]+ oxidoreductase	ABUTR	[c] : 4abutn + h2o + nadp <==> 4abut + (2) h + nadph	-1000	1000	0
111	acetaldehyde dehydrogenase (acetylating)	ACALD	[c] : acald + coa + nad <==> accoa + h + nadh	-1000	1000	0
112	Acetaldehyde Reversible Transport	ACALDt	acald[e] <==> acald[c]	-1000	1000	0
113	Adenosyl cobinamide phosphate guanyltransferase	ACBIPGT	[c] : adocbip + gtp + h --> agdpcbi + ppi	0	1000	0
114	Acetyl Coenzyme A Carboxylase	ACCOAC	[c] : accoa + atp + hco3 --> adp + h + malcoa + pi	0	1000	0
115	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)	ACCOACL	[c] : accoa + btn_co2 --> apoC_Lys_btn + malcoa	0	1000	0
116	Lysine biosynthesis AAA pathway 2/AcetylCoA to Lysine	ACCOALYS2	[c] : acaadpdp + nadph --> acaadpsal + nadp + pi	0	1000	0
117	Phosphoacetylglucosamine Mutase	ACGAMPM	[c] : acgam6p <==> acgam1p	-1000	1000	0
118	UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase	ACGAMT	[c] : uacgam + udcpp --> ump + unaga	0	1000	0
119	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS	ACGApts	acgam[e] + pep[c] --> acgam6p[c] + pyr[c]	0	1000	0
120	acetate kinase	ACKr	[c] : ac + atp <==> actp + adp	-1000	1000	0
121	myristoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPAT140	[c] : 1tdecg3p + tdcoa --> coa + pa140	0	1000	0
122	palmitoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPAT160	[c] : 1hdecg3p + pmtcoa --> coa + pa160	0	1000	0
123	stearoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPAT180	[c] : 1odecg3p + stcoa --> coa + pa180	0	1000	0
124	anteisopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPATAI15	[c] : 1aipdecg3p + aipdcoa --> coa + h + paai15	0	1000	0
125	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPATAI17	[c] : 1aihpdecg3p + aihpdcoa --> coa + paai17	0	1000	0
126	isotetradecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPATI14	[c] : 1itdecg3p + itdcoa --> coa + h + pai14	0	1000	0
127	isopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPATI15	[c] : 1ipdecg3p + ipdcoa --> coa + h + pai15	0	1000	0
128	isohexadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPATI16	[c] : 1ihdecg3p + ihdcoa --> coa + h + pai16	0	1000	0
129	isoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	ACOAAGPATI17	[c] : 1ihpdecg3p + ihpdcoa --> coa + pai17	0	1000	0
130	acyl-CoA dehydrogenase (butanoyl-CoA)	ACOAD1	[c] : b2coa + h + nadh <==> btcoa + nad	-1000	1000	0
131	(S)-2-methylbutanoyl-CoA:oxygen 2,3-oxidoreductase	ACOAD20	[c] : (2) 2mbcoa + o2 --> (2) 2mb2coa + (2) h2o	0	1000	0
132	acyl-CoA dehydrogenase (Isobutiryl-CoA)	ACOADH2	[c] : (2) ibcoa + o2 --> (2) 2mp2coa + (2) h2o	0	1000	0
133	Acetyl Coenzyme A Acp Transacylase	ACOATA	[c] : ACP + accoa <==> acACP + coa	-1000	1000	0
134	Acetylornithine deacetylase, reversible	ACODAr	[c] : acorn + h2o <==> ac + orn	-1000	1000	0
135	Aconitase	ACONT	[c] : cit <==> icit	-1000	1000	0
136	acyl-carrier protein synthase	ACPS1	[c] : apoACP + coa --> ACP + h + pap	0	1000	0
137	Acetate Reversible Transport via Proton Symport	ACt2r	ac[e] + h[e] <==> ac[c] + h[c]	-1000	1000	0
138	Adenosine Deaminase	ADA	[c] : adn + h2o + h --> ins + nh4	0	1000	0
139	deoxycytidine kinase	ADAD	[c] : atp + dcyt <==> adp + dcmp + h	-1000	1000	0
140	4-aminobenzoate synthase	ADCL	[c] : 4adcho --> 4abz + h + pyr	0	1000	0
141	adenosylcobinamide-phosphate synthase	ADCPS1	[c] : adcobhex + appl + atp --> adocbi + adp + h + pi	0	1000	0
142	adenosylcobinamide-phosphate synthase	ADCPS2	[c] : adcobhex + applp + atp --> adocbip + adp + h + pi	0	1000	0
143	4-amino-4-deoxychorismate synthase	ADCS	[c] : chor + gln_L --> 4adcho + glu_L	0	1000	0
144	adenosylcobyric acid synthase (glutamine-hydrolysing)	ADCYRS	[c] : adcobdam + (4) atp + (4) gln_L + (4) h2o --> adcobhex + (4) adp + (4) glu_L + (4) h + (4) pi	0	1000	0
145	adenine deaminase	ADD	[c] : ade + h2o + h --> hxan + nh4	0	1000	0
146	Adenylate Kinase	ADK1	[c] : amp + atp <==> (2) adp	-1000	1000	0
147	adenylate kinase (Inorganic triphosphate)	ADK2	[c] : amp + pppi <==> adp + ppi	-1000	1000	0
148	Adenosylmethionine decarboxylase	ADMDCr	[c] : amet + h <==> ametam + co2	-1000	1000	0
149	Adenosine Transport Cnt3	ADNCNT3tc	adn[e] + h[e] <==> adn[c] + h[c]	-1000	1000	0
150	Adenosine Kinase	ADNK1	[c] : adn + atp --> adp + amp + h	0	1000	0
151	adenosine hydrolase	ADNUC	[c] : adn + h2o --> ade + rib_D	0	1000	0
152	Adenosyl cobinamide kinase	ADOCBIK	[c] : adocbi + atp --> adocbip + adp + h	0	1000	0
153	Adenosyl cobinamide kinase (GTP)	ADOCBIK2	[c] : adocbi + gtp --> adocbip + gdp + h	0	1000	0
154	Adenosylcobalamin 5-phosphate synthase	ADOCBLS	[c] : agdpcbi + rdmbzi --> adocbl + gmp + h	0	1000	0
155	Adenosylcobalamin transport via ABC system	ADOCBLabc	adocbl[e] + atp[c] + h2o[c] --> adocbl[c] + adp[c] + h[c] + pi[c]	0	1000	0
156	ADPribose Diphosphatase	ADPRDP	[c] : adprib + h2o --> amp + (2) h + r5p	0	1000	0
157	Adenine Phosphoribosyltransferase	ADPT	[c] : ade + prpp --> amp + ppi	0	1000	0
158	adenylsuccinate lyase	ADSL1r	[c] : dcamp <==> amp + fum	-1000	1000	0
159	adenylosuccinate lyase	ADSL2r	[c] : 25aics <==> aicar + fum	-1000	1000	0
160	Adenylosuccinate Synthase	ADSS	[c] : asp_L + gtp + imp --> dcamp + gdp + (2) h + pi	0	1000	0
161	N-Acetylglucosamine-6-Phosphate Deacetylase	AGDC	[c] : acgam6p + h2o --> ac + gam6p	0	1000	0
162	agmatinase	AGMT	[c] : agm + h2o --> ptrc + urea	0	1000	0
163	1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0)	AGPAT120	[c] : 1ddecg3p + ddcaACP --> ACP + pa120	0	1000	0
164	1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)	AGPAT140	[c] : 1tdecg3p + myrsACP --> ACP + pa140	0	1000	0
165	1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1)	AGPAT141	[c] : 1tdec7eg3p + tdeACP --> ACP + pa141	0	1000	0
166	1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0)	AGPAT160	[c] : 1hdecg3p + palmACP --> ACP + pa160	0	1000	0
167	1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1)	AGPAT161	[c] : 1hdec9eg3p + hdeACP --> ACP + pa161	0	1000	0
168	1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0)	AGPAT180	[c] : 1odecg3p + ocdcaACP --> ACP + pa180	0	1000	0
169	1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1)	AGPAT181	[c] : 1odec11eg3p + octeACP --> ACP + pa181	0	1000	0
170	Alanine glyoxylate aminotransferase (irreversible)	AGTi	[c] : ala_L + glx --> gly + pyr	0	1000	0
171	Adenosylhomocysteinase	AHC	[c] : ahcys + h2o <==> adn + hcys_L	-1000	1000	0
172	S-adenosylhomocysteine nucleosidase reversible	AHCYSNS_r	[c] : ahcys + h2o <==> ade + rhcys	-1000	1000	0
173	Hexosaminidase	AHEXASE3	[c] : chtbs + h2o <==> (2) acgam	-1000	1000	0
174	4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase	AHMMPS	[c] : air + h2o --> 4ahmmp + gcald + (0.5) o2 + pi	0	1000	0
175	Phosphoribosylaminoimidazolecarboxamide Formyltransferase	AICART	[c] : 10fthf + aicar <==> fprica + thf	-1000	1000	0
176	anteisoheptadecanoyl-UDP-glucosyltransferase (monoglucosyl)	AIHDUDPMG	[c] : 12daihdglyc + udpg <==> h + m12dahglyc + udp	-1000	1000	0
177	anteisoheptadecanoyl-UDP-glucosyltransferase (diglucosyl)	AIHDUPDG	[c] : m12dahglyc + udpg <==> diglcpgai17 + h + udp	-1000	1000	0
178	14-methyl-hexa-decanoyl-ACP[acyl-carrier-protein] transferase	AIHPDCOATA	[c] : 14mpalmACP + coa <==> ACP + aihpdcoa	-1000	1000	0
179	12-methyl-tetra-decanoyl-ACP[acyl-carrier-protein] transferase	AIPDCOATA	[c] : 12mmyrsACP + coa <==> ACP + aipdcoa	-1000	1000	0
180	Phosphoribosylaminoimidazole carboxylase	AIRC4	[c] : air + atp + hco3 --> 5aizc + adp + h + pi	0	1000	0
